region,date,mean,median,lower_90,upper_90,lower_50,upper_50
Івано-Франківська,2020-03-29,1.0841150778207658,1.0627757712681583,0.803976116620736,1.3519372632426434,0.95062167884413,1.1275783915674256
Івано-Франківська,2020-03-30,1.0760141038781261,1.0601685195132906,0.7895845080600452,1.3253773920157301,0.9477203734207863,1.117986620604349
Івано-Франківська,2020-03-31,1.0716314998818923,1.0580059012689875,0.8007621804969226,1.327886474303371,0.9477650363933412,1.1173738339237484
Івано-Франківська,2020-04-01,1.0683300723691165,1.0521441565254341,0.8471606699618394,1.3555696526562793,0.9460785804154699,1.1122918875901828
Івано-Франківська,2020-04-02,1.0643897668675475,1.0525212930979495,0.8373553956837106,1.3274182859599941,0.9453465886368543,1.112866946627969
Івано-Франківська,2020-04-03,1.0614502560218817,1.049123159512646,0.8377425769773805,1.3225709390871507,0.9716054418077097,1.133941708353448
Івано-Франківська,2020-04-04,1.0578662929533609,1.047950211627323,0.8014473614114678,1.2810133831916448,0.9583868311697891,1.1204375405360758
Івано-Франківська,2020-04-05,1.052233791199147,1.0465660365220628,0.8319557784565175,1.3149482459892565,0.9462757985755093,1.1087932952510227
Івано-Франківська,2020-04-06,1.0504836082499394,1.0445890529047297,0.8059667708847037,1.280751116762076,0.9465797643080561,1.1039007207345763
Івано-Франківська,2020-04-07,1.0479787242909324,1.0436763215341442,0.8330475150552576,1.296071107849592,0.9422825393779827,1.098435216414316
Івано-Франківська,2020-04-08,1.0451973145448303,1.0411646487084192,0.8331183011031966,1.2721509871641188,0.9658304556080116,1.1174560507779552
Івано-Франківська,2020-04-09,1.0457655457258312,1.0375988319843807,0.8185430459666589,1.2576372573442434,0.9750286649930288,1.1279282730752789
Івано-Франківська,2020-04-10,1.0435848783541506,1.0382346344338704,0.8437270056024369,1.3140249323853535,0.9663112138997327,1.1172603065644986
Івано-Франківська,2020-04-11,1.0385190311032384,1.0360135604689313,0.7624370761653996,1.23630337244697,0.9534842614311783,1.1080434452640144
Івано-Франківська,2020-04-12,1.0360525971169952,1.0330267220231577,0.8074387115676765,1.2687678572149568,0.9521923505914449,1.105384888991141
